317	297	0.0278
68	297	0.0278
199	297	0.0278
80	297	0.0278
207	297	0.0278
331	297	0.0278
332	297	0.0278
206	297	0.0278
336	297	0.0278
87	297	0.0278
340	297	0.0278
91	297	0.0278
92	297	0.0278
96	297	0.0278
232	297	0.0278
357	297	0.0278
363	297	0.0278
364	297	0.0278
249	297	0.0278
374	297	0.0278
375	297	0.0278
128	297	0.0278
378	297	0.0278
382	297	0.0278
133	297	0.0278
135	297	0.0278
262	297	0.0278
150	297	0.0278
275	297	0.0278
154	297	0.0278
285	297	0.0278
171	297	0.0278
308	297	0.0278
187	297	0.0278
188	297	0.0278
312	297	0.0278
194	249	0.0233
76	249	0.0233
207	249	0.0233
331	249	0.0233
332	249	0.0233
337	249	0.0233
87	249	0.0233
91	249	0.0233
92	249	0.0233
345	249	0.0233
233	249	0.0233
111	249	0.0233
363	249	0.0233
241	249	0.0233
121	249	0.0233
122	249	0.0233
125	249	0.0233
250	249	0.0233
128	249	0.0233
382	249	0.0233
133	249	0.0233
383	249	0.0233
385	249	0.0233
261	249	0.0233
262	249	0.0233
265	249	0.0233
391	249	0.0233
401	249	0.0233
275	249	0.0233
154	249	0.0233
405	249	0.0233
282	249	0.0233
283	249	0.0233
284	249	0.0233
164	249	0.0233
170	249	0.0233
297	249	0.0233
175	249	0.0233
300	249	0.0233
179	249	0.0233
188	249	0.0233
189	249	0.0233
312	249	0.0233
194	188	0.0161
70	188	0.0161
72	188	0.0161
321	188	0.0161
202	188	0.0161
76	188	0.0161
206	188	0.0161
207	188	0.0161
331	188	0.0161
332	188	0.0161
334	188	0.0161
336	188	0.0161
87	188	0.0161
337	188	0.0161
340	188	0.0161
91	188	0.0161
92	188	0.0161
341	188	0.0161
344	188	0.0161
345	188	0.0161
220	188	0.0161
97	188	0.0161
225	188	0.0161
232	188	0.0161
233	188	0.0161
357	188	0.0161
111	188	0.0161
363	188	0.0161
364	188	0.0161
239	188	0.0161
121	188	0.0161
122	188	0.0161
249	188	0.0161
375	188	0.0161
250	188	0.0161
128	188	0.0161
382	188	0.0161
383	188	0.0161
132	188	0.0161
385	188	0.0161
133	188	0.0161
